"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Brasil";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"72,4"
"Brasil";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1872"
"Brasil";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"2881581"
"Brasil";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,9"
"Brasil";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1719"
"Brasil";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"2861868"
"Brasil";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,8"
"Brasil";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1610"
"Brasil";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"2913160"
"Brasil";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,3"
"Brasil";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1583"
"Brasil";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"2905789"
"Brasil";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,1"
"Brasil";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1686"
"Brasil";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"2904027"
"Brasil";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,8"
"Brasil";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1739"
"Brasil";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"2979259"
"Brasil";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,0"
"Brasil";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1738"
"Brasil";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"3017668"
"Brasil";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,4"
"Brasil";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1670"
"Brasil";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"2857800"
"Brasil";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,5"
"Brasil";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1718"
"Brasil";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"2923535"
"Brasil";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,1"
"Brasil";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1658"
"Brasil";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"2944932"
"Brasil";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"57,9"
"Brasil";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1576"
"Brasil";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"2849146"
"Brasil";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"74,7"
"Brasil";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1965"
"Brasil";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"2730145"
"Brasil";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"117,4"
"Brasil";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"3030"
"Brasil";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"2677101"
"Brasil";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"57,7"
"Brasil";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1370"
"Brasil";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"2561922"
"Brasil";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"55,3"
"Brasil";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1325"
"Brasil";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"2537576"
"Norte";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"84,4"
"Norte";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"209"
"Norte";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"310726"
"Norte";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,4"
